Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
3/24/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
3/25/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
3/26/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/27/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/28/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/29/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/30/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/31/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
4/1/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
4/2/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/3/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/4/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/5/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/6/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/7/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
4/8/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
4/9/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/10/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/11/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/12/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/13/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/14/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
4/15/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
4/16/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/17/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/18/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/19/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/20/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/21/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
4/22/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
4/23/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/24/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/25/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/26/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/27/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
4/28/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
4/29/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
4/30/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/1/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,,,,,,
5/2/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/3/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/4/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/5/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
5/6/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
5/7/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/8/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/9/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/10/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/11/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/12/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
5/13/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
5/14/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/15/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/16/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/17/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/18/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/19/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
5/20/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
5/21/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/22/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/23/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/24/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/25/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/26/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
5/27/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
5/28/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/29/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/30/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
5/31/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/1/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/2/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
6/3/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
6/4/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/5/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/6/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/7/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/8/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/9/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
6/10/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
6/11/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/12/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/13/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/14/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/15/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/16/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
6/17/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
6/18/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/19/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/20/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/21/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/22/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/23/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
6/24/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
6/25/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/26/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/27/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/28/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/29/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
6/30/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/1/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/2/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/3/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/4/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/5/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/6/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/7/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/8/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/9/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/10/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/11/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/12/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/13/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/14/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/15/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/16/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/17/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/18/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/19/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/20/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/21/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/22/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/23/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/24/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/25/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/26/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/27/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/28/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/29/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/30/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
7/31/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/1/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/2/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/3/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/4/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/5/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/6/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/7/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/8/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/9/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/10/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/11/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/12/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/13/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/14/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/15/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/16/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/17/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/18/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/19/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/20/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/21/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/22/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/23/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/24/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/25/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/26/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/27/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/28/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/29/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/30/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
8/31/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/1/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/2/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/3/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/4/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/5/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/6/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/7/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/8/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/9/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/10/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/11/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/12/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/13/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/14/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/15/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/16/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/17/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/18/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/19/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/20/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/21/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/22/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/23/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/24/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/25/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/26/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/27/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/28/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
9/29/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/30/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
10/1/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/2/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/3/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/4/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/5/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/6/1951,,,,,,,,,,5,2,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
10/7/1951,,,,,,,,,,5,2,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
10/8/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/9/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/10/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/11/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/12/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/13/1951,,,,,,,,,,5,2,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
10/14/1951,,,,,,,,,,5,2,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
10/15/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/16/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/17/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/18/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/19/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/20/1951,,,,,,,,,,5,2,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
10/21/1951,,,,,,,,,,5,2,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
10/22/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/23/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/24/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/25/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/26/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/27/1951,,,,,,,,,,5,2,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
10/28/1951,,,,,,,,,,5,2,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
10/29/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/30/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
10/31/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
11/1/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
11/2/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
11/3/1951,,,,,,,,,,5,2,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
11/4/1951,,,,,,,,,,5,2,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
11/5/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
11/6/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
11/7/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
11/8/1951,,,,,1.5,,,,,5,2.5,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
11/9/1951,,,,,1.5,,,,,5,2.5,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
11/10/1951,,,,,,,,,,5,2.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
11/11/1951,,,,,,,,,,5,2.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
11/12/1951,,,,,1.5,,,,,5,2.5,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
11/13/1951,,,,,1.5,,,,,5,2.5,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
11/14/1951,,,,,1.5,,,,,5,2.5,,,,,,3,,5.84,,,,,,,,,,,,,,3,,,,,
11/15/1951,,,,,1.5,,,,,5,2.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3,,,,,
11/16/1951,,,,,1.5,,,,,5,2.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3,,,,,
11/17/1951,,,,,,,,,,5,2.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
11/18/1951,,,,,,,,,,5,2.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
11/19/1951,,,,,1.5,,,,,5,2.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3,,,,,
11/20/1951,,,,,1.5,,,,,5,2.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3,,,,,
11/21/1951,,,,,1.5,,,,,5,2.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3,,,,,
11/22/1951,,,,,1.5,,,,,5,2.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3,,,,,
11/23/1951,,,,,1.5,,,,,5,2.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3,,,,,
11/24/1951,,,,,,,,,,5,2.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
11/25/1951,,,,,,,,,,5,2.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
11/26/1951,,,,,1.5,,,,,5,2.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3,,,,,
11/27/1951,,,,,1.5,,,,,5,2.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3,,,,,
11/28/1951,,,,,1.5,,,,,5,2.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3,,,,,
11/29/1951,,,,,1.5,,,,,5,2.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3,,,,,
11/30/1951,,,,,1.5,,,,,5,2.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3,,,,,
12/1/1951,,,,,,,,,,5,2.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
12/2/1951,,,,,,,,,,5,2.5,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,
12/3/1951,,,,,1.5,,,,,5,2.5,,,,,,3.5,,5.84,,,,,,,,,,,,,,3,,,,,
